perfumeLabel,brandLabel,year
1969,,2001
Alto Astral,,
Ambition,,
Angel Muse,,2017
Anglomania,,2005
Autumn 25,,2025
Because of You...,,2010
Believe,,
Beso,,
Beyoncé Pulse,,
Bijou Zafran,,2026
Bint el Sudan,,
Blocki,,
Blu,,
Boudoir,,1998
Boudoir Sin Garden,,2007
Burnt Hair,,2022
Cadavre Exquis,,
Can Can,,
Cheeky Alice,,2011
Clive Christian No. 1,,
Como La Flor,,
Corpse Reviver,,
Counterplay,,2024
Crêpe de Chine,,
Desert Dawn,,
Diamonds,,
Earthworm,,
Eau d'Orange Verte,,2009
Electric Youth,,
Elixir,,
Esprit de Valdemar,,
Ever,,
Fantasy,,
Flirty Alice,,2013
Florida Water,,
Forbidden Rose,,
Forever,,
Glowing by JLo,,
Hai Karate,,
Imperial Majesty,,
Knize Ten,,1924
Lacoste Essential,,
Let It Rock,,2007
Libertine,,2000
Love and Glamour,,
Love Potion No. 9,,
Lune Rose,,
Luscious Pink,,
M,,
Mad Potion,,
Mon Boudoir,,2013
Ombre rose,,
Our Moment,,
Paris Hilton,,
Peau d’Espagne,,
Pitralon,,
Prerogative,,
Radiance,,
Regalium,,
Rise,,
Roma,,
Sexy Darling,,
Spring 26,,2026
Still Jennifer Lopez,,
StormFlower,,
Sunny Alice,,2014
TAG Body Spray,,
"Tempt, Tease and Touch",,
"Thank U, Next",,
True Star,,
U From Uruguay,,
Uninhibited,,
Usher VIP,,
Winter 26,,2025
Take Me to the River,4160 Tuesdays,2018
Fierce,Abercrombie & Fitch,
Ambra,Acqua di Parma,
Blu Mediterraneo Arancia di Capri,Acqua di Parma,
Blu Mediterraneo Bergamotto di Calabria,Acqua di Parma,
Blu Mediterraneo Chinotto di Liguria,Acqua di Parma,
Blu Mediterraneo Cipresso di Toscana,Acqua di Parma,
Blu Mediterraneo Fico di Amalfi,Acqua di Parma,
Blu Mediterraneo Mandorlo di Sicilia,Acqua di Parma,
Blu Mediterraneo Mirto di Panarea,Acqua di Parma,
Colonia,Acqua di Parma,
Colonia Essenza,Acqua di Parma,
Colonia Futura,Acqua di Parma,
Colonia Intensa,Acqua di Parma,
Colonia Pura,Acqua di Parma,
Gelsomino Nobile,Acqua di Parma,
Leather,Acqua di Parma,
Lily of the Valley,Acqua di Parma,
Luce di Colonia,Acqua di Parma,
Magnolia Nobile,Acqua di Parma,
Osmanthus,Acqua di Parma,
Oud,Acqua di Parma,
Peonia Nobile,Acqua di Parma,
Quercia,Acqua di Parma,
Rosa Nobile,Acqua di Parma,
Sakura,Acqua di Parma,
Yuzu,Acqua di Parma,
Zafferano,Acqua di Parma,
Aurner,Aesop,
Eidesis,Aesop,
Eremia,Aesop,
Gloam,Aesop,
Hwyl,Aesop,
Karst,Aesop,
Marrakech Intense,Aesop,
Miraceti,Aesop,
Ouranon,Aesop,
Rōzu,Aesop,
Tacit,Aesop,
Virēre,Aesop,
Ashore,Amouage,
Beach Hut Man,Amouage,
Beach Hut Woman,Amouage,
Boundless,Amouage,
Crimson Rocks,Amouage,
Dia Man,Amouage,
Dia Woman,Amouage,
Enclave,Amouage,
Epic Man,Amouage,
Epic Woman,Amouage,
Figment Man,Amouage,
Figment Woman,Amouage,
Gold Man,Amouage,
Gold Woman,Amouage,
Guidance,Amouage,
Honour Man,Amouage,
Honour Woman,Amouage,
Interlude Man,Amouage,
Interlude Woman,Amouage,
Journey Man,Amouage,
Journey Woman,Amouage,
Jubilation 25 Woman,Amouage,
Jubilation XXV Man,Amouage,
King Blue,Amouage,
Lineage,Amouage,
Lyric Man,Amouage,
Lyric Woman,Amouage,
Material,Amouage,
Meander,Amouage,
Memoir Man,Amouage,
Memoir Woman,Amouage,
